Model,Displacement,# of Cylinders,Transmission,Drive,Fuel,Type,City MPG,Highway MPG,Combined MPG
CHEVROLET Equinox,1.5,4.0,Auto-6,4WD,Gasoline,small SUV,25,30,27
CHEVROLET Equinox,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,22,29,25
CHEVROLET Equinox,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,22,28,24
CHEVROLET Impala,3.6,6.0,SemiAuto-6,2WD,Ethanol/Gas,large car,14,20,16
CHEVROLET Impala,3.6,6.0,SemiAuto-6,2WD,Gasoline,large car,19,28,22
CHEVROLET Malibu,1.5,4.0,CVT,2WD,Gasoline,midsize car,29,36,32
CHEVROLET Malibu,2.0,4.0,Auto-9,2WD,Gasoline,midsize car,22,32,26
CHEVROLET Silverado,2.7,4.0,Auto-8,2WD,Gasoline,pickup,19,22,20
CHEVROLET Silverado,2.7,4.0,Auto-8,4WD,Gasoline,pickup,19,22,20
CHEVROLET Silverado,3.0,6.0,Auto-10,2WD,Diesel,pickup,23,33,27
CHEVROLET Silverado,3.0,6.0,Auto-10,4WD,Diesel,pickup,23,29,25
CHEVROLET Silverado,4.3,6.0,Auto-6,2WD,Gasoline,pickup,16,21,17
CHEVROLET Silverado,4.3,6.0,Auto-6,4WD,Gasoline,pickup,15,20,17
CHEVROLET Silverado,5.3,8.0,Auto-10,4WD,Gasoline,pickup,16,22,19
CHEVROLET Silverado,5.3,8.0,Auto-6,2WD,Ethanol/Gas,pickup,11,14,12
CHEVROLET Silverado,5.3,8.0,Auto-6,4WD,Ethanol/Gas,pickup,11,13,12
CHEVROLET Silverado 4WD Trail Boss,4.3,6.0,Auto-6,4WD,Gasoline,pickup,14,18,16
CHEVROLET Silverado 4WD Trail Boss,5.3,8.0,Auto-10,4WD,Gasoline,pickup,16,21,18
CHEVROLET Silverado 4WD Trail Boss,5.3,8.0,Auto-8,4WD,Gasoline,pickup,16,21,18
CHEVROLET Sonic,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,26,34,29
CHEVROLET Sonic 5,1.4,4.0,SemiAuto-6,2WD,Gasoline,station wagon,26,34,29
CHEVROLET Spark,1.4,4.0,CVT,2WD,Gasoline,small car,30,38,33
CHEVROLET Spark,1.4,4.0,Man-5,2WD,Gasoline,small car,29,38,33
CHEVROLET Spark Activ,1.4,4.0,CVT,2WD,Gasoline,small car,30,37,33
CHEVROLET Spark Activ,1.4,4.0,Man-5,2WD,Gasoline,small car,29,37,32
CHEVROLET Suburban 1500,5.3,8.0,Auto-6,2WD,Ethanol/Gas,standard SUV,11,17,13
CHEVROLET Suburban 1500,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,15,22,18
CHEVROLET Suburban 1500,5.3,8.0,Auto-6,4WD,Ethanol/Gas,standard SUV,11,15,12
CHEVROLET Suburban 1500,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,14,21,16
CHEVROLET Suburban 1500,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,14,23,17
CHEVROLET Suburban 1500,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,14,20,16
CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,2WD,Ethanol/Gas,standard SUV,11,17,13
CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,2WD,Gasoline,standard SUV,15,22,18
CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,4WD,Ethanol/Gas,standard SUV,11,16,13
CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,4WD,Gasoline,standard SUV,15,21,17
CHEVROLET Tahoe 1500,6.2,8.0,Auto-10,2WD,Gasoline,standard SUV,14,23,17
CHEVROLET Tahoe 1500,6.2,8.0,Auto-10,4WD,Gasoline,standard SUV,14,22,17
CHEVROLET Traverse,3.6,6.0,Auto-9,2WD,Gasoline,standard SUV,18,27,21
CHEVROLET Traverse,3.6,6.0,Auto-9,4WD,Gasoline,standard SUV,17,25,20
CHEVROLET Trax,1.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,26,31,28
CHEVROLET Trax,1.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,24,29,26
CHRYSLER 300,3.6,6.0,Auto-8,2WD,Gasoline,large car,19,30,23
CHRYSLER 300,3.6,6.0,Auto-8,4WD,Gasoline,large car,18,27,21
CHRYSLER Pacifica,3.6,6.0,Auto-9,2WD,Gasoline,minivan,19,28,22
CHRYSLER Pacifica Hybrid,3.6,6.0,CVT,2WD,Gasoline/Electricity,minivan,29,30,30
CHRYSLER Voyager,3.6,6.0,Auto-9,2WD,Gasoline,minivan,19,28,22
DODGE Challenger,3.6,6.0,Auto-8,2WD,Gasoline,midsize car,19,30,23
DODGE Challenger,3.6,6.0,Auto-8,4WD,Gasoline,midsize car,18,27,21
DODGE Challenger,5.7,8.0,Man-6,2WD,Gasoline,midsize car,15,23,18
DODGE Challenger SRT,6.2,8.0,Auto-8,2WD,Gasoline,midsize car,13,22,16
DODGE Challenger SRT,6.2,8.0,Man-6,2WD,Gasoline,midsize car,13,21,16
